Machi,Community,Sex.1male,ID,adol.less20,mat.20to50,old.over50,EdMes,LabMes,FamMat,EmpMat,ComMes,CtyMat,Target,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
1,T,1,146,0,1,0,1,1,1,0,1,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,NA,NA
1,T,1,105,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,NA,1,1,NA,1,1
1,T,0,155,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,NA,NA
1,T,0,135,0,0,1,0,1,1,0,1,1,1,0,1,1,1,NA,0,1,0,1,0,1,1,1,1
1,T,0,171,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
1,T,0,107,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1,T,1,45,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
1,T,1,119,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,NA,1,1,1,1
1,T,1,123,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA
1,T,0,145,0,1,0,0,0,1,0,1,1,1,NA,1,0,0,1,1,1,1,0,0,1,0,NA,NA
1,T,0,66,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,NA,1,NA,1,0
1,T,0,242,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0
1,T,0,3,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
1,T,1,94,0,0,1,0,0,1,0,1,1,1,1,NA,0,0,0,0,1,0,0,0,1,NA,NA,NA
1,T,0,30,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,NA,1,0,NA,1
1,T,0,95,0,0,1,0,1,1,0,0,1,1,1,1,NA,1,0,1,0,NA,0,1,NA,NA,NA,NA
1,T,0,84,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,NA,1,1
1,T,0,71,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,NA,1,NA,1,0
1,T,0,110,0,1,0,0,0,1,0,1,1,1,1,1,NA,1,1,1,1,0,0,0,0,1,1,1
1,T,0,154,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,NA,0,1,0,1
1,T,0,85,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1
1,T,1,153,0,0,1,1,0,1,0,1,1,1,NA,1,1,1,0,0,0,0,1,0,1,1,NA,NA
1,T,0,17,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,NA,0,1
1,T,1,56,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
1,T,0,149,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,1,0
1,T,1,108,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,NA,1,1
